# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_dmeff          13:T_dmeff               14:Vrel_dmeff            15:dkappa_dmeff          16:dkappaT_dmeff         17:cdmeff2               18:(.)rho_lambda         19:(.)rho_fld            20:(.)w_fld              21:(.)rho_ur             22:(.)rho_crit           23:(.)rho_tot            24:(.)p_tot              25:(.)p_tot_prime        26:gr.fac. D             27:gr.fac. f          
       9.326212236469e+13       8.691276084183e-26       4.971298039891e-09       1.876343440997e+22       1.415848720444e+04       1.518139073554e-10       1.320450566160e+18       2.869672485112e-09       2.081614238068e+44       2.078587998992e+33       4.422527657431e+24       1.056984110126e+34       2.541859141148e+14       0.000000000000e+00       4.557089893584e+26       4.386850226415e+25      -4.887885826999e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       1.439050470378e+44       3.520664708572e+44       3.520664708572e+44       1.173554902815e+44      -9.444314535054e+52       8.002381078108e-07       1.433565615564e+01 
       9.261382558559e+13       8.813379821889e-26       5.005858838558e-09       1.850347903304e+22       1.415848720444e+04       1.528766047069e-10       1.311271664508e+18       2.889760192508e-09       2.024334923495e+44       2.035541700462e+33       4.330939788217e+24       1.035094609384e+34       2.524189812467e+14       0.000000000000e+00       4.447177345307e+26       4.281043692299e+25      -4.761458433641e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       1.399452439641e+44       3.423787363260e+44       3.423787363260e+44       1.141262454379e+44      -9.120593286052e+52       8.802619185918e-07       1.303241468694e+01 
       9.197003533823e+13       8.937198995007e-26       5.040419637226e-09       1.824712517150e+22       1.415848720444e+04       1.539467409398e-10       1.302156568528e+18       2.909988513856e-09       1.968631751041e+44       1.993386864702e+33       4.241248648303e+24       1.013658426944e+34       2.506643309309e+14       0.000000000000e+00       4.339915780125e+26       4.177789108235e+25      -4.638267758132e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       1.360944019083e+44       3.329575770245e+44       3.329575770245e+44       1.109858590041e+44      -8.807968178191e+52       9.602857293728e-07       1.194638012970e+01 
       9.133072029615e+13       9.062757703687e-26       5.074980435893e-09       1.799432292868e+22       1.415848720444e+04       1.550243681264e-10       1.293104834685e+18       2.930358433453e-09       1.914461350357e+44       1.952105030060e+33       4.153414957574e+24       9.926661748601e+33       2.489218777871e+14       0.000000000000e+00       4.235241258920e+26       4.077024923684e+25      -4.518254094867e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       1.323495226141e+44       3.237956576617e+44       3.237956576617e+44       1.079318858833e+44      -8.506058870826e+52       1.040309540154e-06       1.102742781203e+01 
       9.069584935070e+13       9.190080386666e-26       5.111360223964e-09       1.774502309916e+22       1.415848720444e+04       1.561095387033e-10       1.284116022528e+18       2.950870942487e-09       1.861781544502e+44       1.911678117209e+33       4.067400249382e+24       9.721086596022e+33       2.471915370286e+14       0.000000000000e+00       4.133091384723e+26       3.978691072649e+25      -4.401330858439e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       1.287076903280e+44       3.148858447899e+44       3.148858447899e+44       1.049619482594e+44      -8.214498060189e+52       1.120333350935e-06       1.023975439688e+01 
       9.006539160943e+13       9.319191826018e-26       5.147740012035e-09       1.749917715926e+22       1.415848720444e+04       1.572023054742e-10       1.275189694665e+18       2.971527039084e-09       1.810551317112e+44       1.872088421239e+33       3.983166853700e+24       9.519768780344e+33       2.454732244581e+14       0.000000000000e+00       4.033405265518e+26       3.882728937863e+25      -4.287419256040e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       1.251660695284e+44       3.062212012510e+44       3.062212012510e+44       1.020737337465e+44      -7.932931032525e+52       1.200357161716e-06       9.557104103757e+00 
       8.943931639467e+13       9.450117151982e-26       5.182300810702e-09       1.725673725753e+22       1.415848720444e+04       1.583027216125e-10       1.266325416748e+18       2.992327728357e-09       1.760730780460e+44       1.833318603894e+33       3.900677880626e+24       9.322620134697e+33       2.437668564635e+14       0.000000000000e+00       3.936123477948e+26       3.789081315851e+25      -4.176442115168e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       1.217219027182e+44       2.977949807753e+44       2.977949807753e+44       9.926499358805e+43      -7.661015232541e+52       1.280380972497e-06       8.959785097272e+00 
       8.881759324197e+13       9.582881847850e-26       5.218680598773e-09       1.701765620550e+22       1.415848720444e+04       1.594108406638e-10       1.257522757446e+18       3.013274022456e-09       1.712281144399e+44       1.795351685985e+33       3.819897204224e+24       9.129554318095e+33       2.420723500141e+14       0.000000000000e+00       3.841188031886e+26       3.697692382830e+25      -4.068324212292e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       1.183725082777e+44       2.896006227285e+44       2.896006227285e+44       9.653354090587e+43      -7.398419846662e+52       1.360404783278e-06       8.432738915079e+00 
       8.820019189868e+13       9.717511754930e-26       5.255060386844e-09       1.678188746846e+22       1.415848720444e+04       1.605267165485e-10       1.248781288427e+18       3.034366940613e-09       1.665164686165e+44       1.758171039951e+33       3.740789446704e+24       8.940486777621e+33       2.403896226561e+14       0.000000000000e+00       3.748542335871e+26       3.608507661433e+25      -3.962992224661e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       1.151152783767e+44       2.816317470039e+44       2.816317470039e+44       9.387724899774e+43      -7.144825400552e+52       1.440428594059e-06       7.964253419797e+00 
       8.758708232243e+13       9.854033077575e-26       5.293259164318e-09       1.654938515640e+22       1.415848720444e+04       1.616504035643e-10       1.240100584336e+18       3.055607509197e-09       1.619344721000e+44       1.721760382577e+33       3.663319962929e+24       8.755334711400e+33       2.387185925092e+14       0.000000000000e+00       3.658131163372e+26       3.521473988233e+25      -3.860374683284e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       1.119476769443e+44       2.738821490547e+44       2.738821490547e+44       9.129404968142e+43      -6.899923370449e+52       1.520452404840e-06       7.545082187176e+00 
       8.697823467967e+13       9.992472388281e-26       5.329638952389e-09       1.632010401509e+22       1.415848720444e+04       1.627819563893e-10       1.231480222777e+18       3.076996761761e-09       1.574785573594e+44       1.686103767864e+33       3.587454825242e+24       8.574017032329e+33       2.370591782621e+14       0.000000000000e+00       3.569900619871e+26       3.436539482051e+25      -3.760401598239e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       1.088672376937e+44       2.663457950634e+44       2.663457950634e+44       8.878193168437e+43      -6.663415807809e+52       1.600476215621e-06       7.167828077817e+00 
       8.637361934426e+13       1.013285663286e-25       5.366018740460e-09       1.609399941728e+22       1.415848720444e+04       1.639214300840e-10       1.222919784287e+18       3.098535739093e-09       1.531452550306e+44       1.651185580046e+33       3.513160808609e+24       8.396454332574e+33       2.354112991685e+14       0.000000000000e+00       3.483798110728e+26       3.353653513034e+25      -3.663005411681e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       1.058715622028e+44       2.590168172434e+44       2.590168172434e+44       8.633893907778e+43      -6.435014976820e+52       1.680500026402e-06       6.826502931254e+00 
       8.577320689599e+13       1.027521313570e-25       5.404217517935e-09       1.587102735398e+22       1.415848720444e+04       1.650688800946e-10       1.214418852321e+18       3.120225489267e-09       1.489311912151e+44       1.616990526749e+33       3.440405376062e+24       8.222568848788e+33       2.337748750439e+14       0.000000000000e+00       3.399772309839e+26       3.272766672471e+25      -3.568119627162e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       1.029583180460e+44       2.518895092709e+44       2.518895092709e+44       8.396316975370e+43      -6.214443004348e+52       1.760523837183e-06       6.516207343469e+00 
       8.517696811915e+13       1.041956960504e-25       5.442416295409e-09       1.565114442595e+22       1.415848720444e+04       1.662243622552e-10       1.205977013228e+18       3.142067067692e-09       1.448330848536e+44       1.583503632295e+33       3.369156664458e+24       8.052284428054e+33       2.321498262607e+14       0.000000000000e+00       3.317773129033e+26       3.193830743339e+25      -3.475680383104e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       1.001252369787e+44       2.449583218419e+44       2.449583218419e+44       8.165277394407e+43      -6.001431541870e+52       1.840547647964e-06       6.232893980710e+00 
       8.458487400115e+13       1.056595413842e-25       5.480615072884e-09       1.543430783517e+22       1.415848720444e+04       1.673879327910e-10       1.197593856234e+18       3.164061537165e-09       1.408477451704e+44       1.550710231144e+33       3.299383470518e+24       7.885526494539e+33       2.305360737451e+14       0.000000000000e+00       3.237751688216e+26       3.116798671565e+25      -3.385624796062e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       9.737011317102e+43       2.382178583509e+44       2.382178583509e+44       7.940595278048e+43      -5.795721439001e+52       1.920571458744e-06       5.973190064846e+00 
       8.399689573103e+13       1.071439522811e-25       5.518813850358e-09       1.522047537661e+22       1.415848720444e+04       1.685596483206e-10       1.189268973420e+18       3.186209967925e-09       1.369720691902e+44       1.518595961468e+33       3.231055237166e+24       7.722222016827e+33       2.289335389729e+14       0.000000000000e+00       3.159660286236e+26       3.041624537971e+25      -3.297891276379e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       9.469080149052e+43       2.316628706900e+44       2.316628706900e+44       7.722095689357e+43      -5.597062428214e+52       2.000595269525e-06       5.734262462252e+00 
       8.341300469814e+13       1.086492176667e-25       5.557012627833e-09       1.500960542993e+22       1.415848720444e+04       1.697395658588e-10       1.181001959703e+18       3.208513437701e-09       1.332030393213e+44       1.487146758867e+33       3.164142040142e+24       7.562299475940e+33       2.273421439658e+14       0.000000000000e+00       3.083452372444e+26       2.968263530908e+25      -3.212420403021e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       9.208521583176e+43       2.252882551621e+44       2.252882551621e+44       7.509608505100e+43      -5.405212820359e+52       2.080619080306e-06       5.513713906012e+00 
       8.283317249071e+13       1.101756305257e-25       5.597030394711e-09       1.480165695142e+22       1.415848720444e+04       1.709277428198e-10       1.172792412813e+18       3.230973031765e-09       1.295377210063e+44       1.456348850204e+33       3.098614574902e+24       7.405688834016e+33       2.257618112874e+14       0.000000000000e+00       3.009082518950e+26       2.896671919538e+25      -3.129153668728e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       8.955132749226e+43       2.190890485075e+44       2.190890485075e+44       7.302968283286e+43      -5.219939210630e+52       2.160642891087e-06       5.309502279863e+00 
       8.225737089444e+13       1.117234879590e-25       5.635229172185e-09       1.459658946601e+22       1.415848720444e+04       1.721242370195e-10       1.164639933280e+18       3.253589842987e-09       1.259732604377e+44       1.426188747576e+33       3.034444143779e+24       7.252321503632e+33       2.241924640398e+14       0.000000000000e+00       2.936506393538e+26       2.826807027769e+25      -3.048035209441e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       8.708716359288e+43       2.130604240393e+44       2.130604240393e+44       7.102014134354e+43      -5.041016194597e+52       2.240666701868e-06       5.119877198439e+00 
       8.168557189121e+13       1.132930912413e-25       5.675246939063e-09       1.439436305939e+22       1.415848720444e+04       1.733291066787e-10       1.156544124409e+18       3.276364971887e-09       1.225068823353e+44       1.396653242407e+33       2.971602643419e+24       7.102130317772e+33       2.226340258594e+14       0.000000000000e+00       2.865680733241e+26       2.758627208813e+25      -2.969009138312e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       8.469080554175e+43       2.071976878856e+44       2.071976878856e+44       6.906589595903e+43      -4.868226093982e+52       2.320690512649e-06       4.943329708838e+00 
       8.111774765760e+13       1.148847458801e-25       5.715264705941e-09       1.419493837023e+22       1.415848720444e+04       1.745424104254e-10       1.148504592263e+18       3.299299526691e-09       1.191358877859e+44       1.367729399661e+33       2.910062552471e+24       6.955049500405e+33       2.210864209136e+14       0.000000000000e+00       2.796563318554e+26       2.692091820364e+25      -2.892022119525e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       8.236038754048e+43       2.014962753347e+44       2.014962753347e+44       6.716542510878e+43      -4.701358691831e+52       2.400714323430e-06       4.778552051877e+00 
       8.055387056366e+13       1.164987616750e-25       5.755282472819e-09       1.399827658253e+22       1.415848720444e+04       1.757642072984e-10       1.140520945644e+18       3.322394623377e-09       1.158576521413e+44       1.339404552180e+33       2.849796919533e+24       6.811014637684e+33       2.195495738969e+14       0.000000000000e+00       2.729112948266e+26       2.627161200368e+25      -2.817021607565e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       8.009409513143e+43       1.959517472809e+44       1.959517472809e+44       6.531724909091e+43      -4.540210976761e+52       2.480738134211e-06       4.624405211493e+00 
       7.999391317146e+13       1.181354527778e-25       5.795300239697e-09       1.380433941804e+22       1.415848720444e+04       1.769945567495e-10       1.132592796071e+18       3.345651385741e-09       1.126696229756e+44       1.311666295136e+33       2.790779351353e+24       6.669962649733e+33       2.180234100273e+14       0.000000000000e+00       2.663289414896e+26       2.563796643379e+25      -2.743956661760e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       7.789016378498e+43       1.905597867685e+44       1.905597867685e+44       6.351992892019e+43      -4.384586895979e+52       2.560761944992e-06       4.479892548634e+00 
       7.943784823382e+13       1.197951377538e-25       5.835318006575e-09       1.361308912887e+22       1.415848720444e+04       1.782335186467e-10       1.124719757767e+18       3.369070945441e-09       1.095693180972e+44       1.284502480594e+33       2.732984001264e+24       6.531831763022e+33       2.165078550426e+14       0.000000000000e+00       2.599053480731e+26       2.501960377490e+25      -2.672777103507e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       7.574687752568e+43       1.853161956307e+44       1.853161956307e+44       6.177206520761e+43      -4.234297116763e+52       2.640785755773e-06       4.344138228979e+00 
       7.888564869297e+13       1.214781396441e-25       5.877154762857e-09       1.342448849008e+22       1.415848720444e+04       1.794811532773e-10       1.116901447633e+18       3.392654442059e-09       1.065543236164e+44       1.257901212200e+33       2.676385557872e+24       6.396561483313e+33       2.150028351968e+14       0.000000000000e+00       2.536366854431e+26       2.441615541817e+25      -2.603435332853e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       7.366256759621e+43       1.802168912202e+44       1.802168912202e+44       6.007229707087e+43      -4.089158796116e+52       2.720809566554e-06       4.216369457538e+00 
       7.833728767921e+13       1.231847860280e-25       5.917172529735e-09       1.323850079245e+22       1.415848720444e+04       1.807375213502e-10       1.109137485237e+18       3.416403023153e-09       1.036222920661e+44       1.231850839962e+33       2.620959233962e+24       6.264092569169e+33       2.135082772566e+14       0.000000000000e+00       2.475192168207e+26       2.382726164521e+25      -2.535883653334e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       7.163561115805e+43       1.752579032316e+44       1.752579032316e+44       5.841930107471e+43      -3.948995358321e+52       2.800833377334e-06       4.095901758751e+00 
       7.779273850965e+13       1.249154090869e-25       5.959009286016e-09       1.305508983535e+22       1.415848720444e+04       1.820026839997e-10       1.101427492787e+18       3.440317844315e-09       1.007709405738e+44       1.206339955156e+33       2.566680755651e+24       6.134367006005e+33       2.120241084977e+14       0.000000000000e+00       2.415492955543e+26       2.325257141372e+25      -2.470075845950e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       6.966443002797e+43       1.704353706091e+44       1.704353706091e+44       5.681179020059e+43      -3.813636280121e+52       2.880857188115e-06       3.982126709897e+00 
       7.725197468684e+13       1.266703456692e-25       6.000846042298e-09       1.287421991970e+22       1.415848720444e+04       1.832767027877e-10       1.093771095121e+18       3.464400069225e-09       9.799804908440e+43       1.181357385323e+33       2.513526351751e+24       6.007327980684e+33       2.105502567014e+14       0.000000000000e+00       2.357233629463e+26       2.269174214816e+25      -2.405967116594e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       6.774748944928e+43       1.657455385409e+44       1.657455385409e+44       5.524851284456e+43      -3.682916883255e+52       2.960880998896e-06       3.874501663684e+00 
       7.671496989756e+13       1.284499373555e-25       6.042682798579e-09       1.269585584099e+22       1.415848720444e+04       1.845596397072e-10       1.086167919684e+18       3.488650869709e-09       9.530145863146e+43       1.156892189380e+33       2.461472743362e+24       5.882919856635e+33       2.090866501509e+14       0.000000000000e+00       2.300379461310e+26       2.214443953562e+25      -2.343514285600e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       6.588329689681e+43       1.611847555353e+44       1.611847555353e+44       5.372825184276e+43      -3.556678134112e+52       3.040904809677e-06       3.772541093587e+00 
       7.618169801148e+13       1.302545305254e-25       6.084519554861e-09       1.251996288246e+22       1.415848720444e+04       1.858515571851e-10       1.078617596508e+18       3.513071425797e-09       9.267906965640e+43       1.132933652827e+33       2.410497133675e+24       5.761088149484e+33       2.076332176281e+14       0.000000000000e+00       2.244896560051e+26       2.161033732646e+25      -2.282674301692e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       6.407040091490e+43       1.567494705782e+44       1.567494705782e+44       5.224982352377e+43      -3.434766450252e+52       3.120928620458e-06       3.675809270674e+00 
       7.565213307992e+13       1.320844764247e-25       6.128175300546e-09       1.234650680831e+22       1.415848720444e+04       1.871525180854e-10       1.071119758201e+18       3.537662925777e-09       9.012884037369e+43       1.109471283056e+33       2.360577197992e+24       5.641779503200e+33       2.061898884098e+14       0.000000000000e+00       2.190751852069e+26       2.108911713986e+25      -2.223405689556e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       6.230738998726e+43       1.524362303677e+44       1.524362303677e+44       5.081207678699e+43      -3.317033513555e+52       3.200952431239e-06       3.583914038907e+00 
       7.512624933457e+13       1.339401312340e-25       6.170012056828e-09       1.217545385708e+22       1.415848720444e+04       1.884625857120e-10       1.063674039921e+18       3.562426566257e-09       8.764878518120e+43       1.086494804752e+33       2.311691073941e+24       5.524941666719e+33       2.047565922645e+14       0.000000000000e+00       2.137913061454e+26       2.058046827406e+25      -2.165668481544e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       6.059289143798e+43       1.482416766258e+44       1.482416766258e+44       4.941389220639e+43      -3.203336089777e+52       3.280976242020e-06       3.496501501373e+00 
       7.460402118627e+13       1.358218561377e-25       6.213667802513e-09       1.200677073502e+22       1.415848720444e+04       1.897818238120e-10       1.056280079366e+18       3.587363552221e-09       8.523697311413e+43       1.063994155398e+33       2.263817351911e+24       5.410523471066e+33       2.033332594489e+14       0.000000000000e+00       2.086348690755e+26       2.008408752108e+25      -2.109423031970e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       5.892557036278e+43       1.441625434834e+44       1.441625434834e+44       4.805418115897e+43      -3.093535854290e+52       3.361000052801e-06       3.413251465626e+00 
       7.408542322370e+13       1.377300173945e-25       6.257323548198e-09       1.184042460968e+22       1.415848720444e+04       1.911102965787e-10       1.048937516748e+18       3.612475097086e-09       8.289152634162e+43       1.041959480864e+33       2.216935065668e+24       5.298474806947e+33       2.019198207046e+14       0.000000000000e+00       2.036028002213e+26       1.959967898608e+25      -2.054630711583e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       5.730412858961e+43       1.401956549376e+44       1.401956549376e+44       4.673188497708e+43      -2.987499223801e+52       3.441023863581e-06       3.333873524565e+00 
       7.357043021222e+13       1.396649864089e-25       6.300979293883e-09       1.167638310346e+22       1.415848720444e+04       1.924480686547e-10       1.041645994785e+18       3.637762422766e-09       8.061061870468e+43       1.020381131094e+33       2.171023683179e+24       5.188746602798e+33       2.005162072544e+14       0.000000000000e+00       1.986920999430e+26       1.912695391085e+25      -2.001254531093e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       5.572730366797e+43       1.363379223789e+44       1.363379223789e+44       4.544597412421e+43      -2.885097193825e+52       3.521047674362e-06       3.258103671734e+00 
       7.305901709257e+13       1.416271398030e-25       6.344635039568e-09       1.151461428734e+22       1.415848720444e+04       1.937952051353e-10       1.034405158674e+18       3.663226759725e-09       7.839247429430e+43       9.992496558786e+32       2.126063097614e+24       5.081290803298e+33       1.991223507993e+14       0.000000000000e+00       1.938998409494e+26       1.866563050178e+25      -1.949257784435e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       5.419386788590e+43       1.325863421863e+44       1.325863421863e+44       4.419544739340e+43      -2.786205181746e+52       3.601071485143e-06       3.185701367918e+00 
       7.255115897971e+13       1.436168594900e-25       6.390109774657e-09       1.135508667465e+22       1.415848720444e+04       1.951517715713e-10       1.027214656082e+18       3.688869347043e-09       7.623536606878e+43       9.785558007162e+32       2.082033618545e+24       4.976060348323e+33       1.977381835152e+14       0.000000000000e+00       1.892231665526e+26       1.821543376186e+25      -1.898604917301e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       5.270262731413e+43       1.289379933889e+44       1.289379933889e+44       4.297933112764e+43      -2.690702875246e+52       3.681095295924e-06       3.116446990354e+00 
       7.204683116158e+13       1.456345327490e-25       6.433765520342e-09       1.119776921495e+22       1.415848720444e+04       1.965178339723e-10       1.020074137122e+18       3.714691432472e-09       7.413761450905e+43       9.582905027607e+32       2.038915963321e+24       4.873009152336e+33       1.963636380494e+14       0.000000000000e+00       1.846592889653e+26       1.777609532670e+25      -1.849261690658e+10       3.892717486109e-08      -4.653760164655e-12      -1.000000000000e+00       5.125242087647e+43       1.253900353914e+44       1.253900353914e+44       4.179667846184e+43      -2.598474085932e+52       3.761119106705e-06       3.050139607581e+00 
